File name,Contains,Buzz,Social,Date & time
Batlife_Ottenby_2022-01-28_19-22-41_0000107.wav,-,-,S,20220128 19:22
Batlife_Ottenby_2022-01-30_01-41-54_0000108.wav,-,-,S,20220130 01:41
Batlife_Ottenby_2022-01-30_19-10-11_0000109.wav,Vespertilio murinus (Gråskimlig fladdermus),-,-,20220130 19:10
Batlife_Ottenby_2022-02-05_16-22-26_0000110.wav,-,-,S,20220205 16:22
Batlife_Ottenby_2022-02-11_20-10-57_0000111.wav,-,-,S,20220211 20:10
Batlife_Ottenby_2022-02-11_21-06-51_0000112.wav,-,-,S,20220211 21:06
Batlife_Ottenby_2022-02-11_21-23-29_0000113.wav,-,-,S,20220211 21:23
Batlife_Ottenby_2022-02-11_21-50-04_0000114.wav,-,-,S,20220211 21:50
Batlife_Ottenby_2022-02-11_22-19-25_0000115.wav,-,-,S,20220211 22:19
Batlife_Ottenby_2022-02-11_23-10-22_0000116.wav,-,-,S,20220211 23:10
Batlife_Ottenby_2022-02-12_05-28-49_0000117.wav,-,-,S,20220212 05:28
Batlife_Ottenby_2022-02-13_03-07-16_0000118.wav,-,-,S,20220213 03:07
Batlife_Ottenby_2022-02-13_03-54-43_0000119.wav,-,-,S,20220213 03:54
Batlife_Ottenby_2022-02-13_06-04-50_0000120.wav,-,-,S,20220213 06:04
Batlife_Ottenby_2022-02-13_06-38-54_0000121.wav,-,-,S,20220213 06:38
Batlife_Ottenby_2022-02-13_07-09-40_0000122.wav,-,-,S,20220213 07:09
Batlife_Ottenby_2022-02-13_07-34-15_0000123.wav,-,-,S,20220213 07:34
Batlife_Ottenby_2022-02-13_07-35-01_0000124.wav,-,-,S,20220213 07:35
Batlife_Ottenby_2022-02-13_07-52-43_0000125.wav,-,-,S,20220213 07:52
Batlife_Ottenby_2022-02-13_17-11-37_0000126.wav,-,-,S,20220213 17:11
Batlife_Ottenby_2022-02-13_17-24-49_0000127.wav,-,-,S,20220213 17:24
Batlife_Ottenby_2022-02-13_17-28-36_0000128.wav,-,-,S,20220213 17:28
Batlife_Ottenby_2022-02-13_17-48-11_0000129.wav,-,-,S,20220213 17:48
Batlife_Ottenby_2022-02-13_17-58-28_0000130.wav,-,-,S,20220213 17:58
Batlife_Ottenby_2022-02-13_18-45-45_0000131.wav,-,-,S,20220213 18:45
Batlife_Ottenby_2022-02-13_18-46-08_0000132.wav,-,-,S,20220213 18:46
Batlife_Ottenby_2022-02-13_18-54-29_0000133.wav,-,-,S,20220213 18:54
Batlife_Ottenby_2022-02-13_19-03-07_0000134.wav,-,-,S,20220213 19:03
Batlife_Ottenby_2022-02-13_19-03-22_0000135.wav,-,-,S,20220213 19:03
Batlife_Ottenby_2022-02-13_19-13-02_0000136.wav,-,-,S,20220213 19:13
Batlife_Ottenby_2022-02-13_19-19-20_0000137.wav,-,-,S,20220213 19:19
Batlife_Ottenby_2022-02-13_19-31-17_0000138.wav,-,-,S,20220213 19:31
Batlife_Ottenby_2022-02-13_19-32-53_0000139.wav,-,-,S,20220213 19:32
Batlife_Ottenby_2022-02-13_19-33-00_0000140.wav,-,-,S,20220213 19:33
Batlife_Ottenby_2022-02-13_19-38-13_0000141.wav,-,-,S,20220213 19:38
Batlife_Ottenby_2022-02-13_19-46-02_0000142.wav,-,-,S,20220213 19:46
Batlife_Ottenby_2022-02-13_19-47-11_0000143.wav,-,-,S,20220213 19:47
Batlife_Ottenby_2022-02-13_19-55-35_0000144.wav,-,-,S,20220213 19:55
Batlife_Ottenby_2022-02-13_20-27-57_0000145.wav,-,-,S,20220213 20:27
Batlife_Ottenby_2022-02-13_20-38-11_0000146.wav,-,-,S,20220213 20:38
Batlife_Ottenby_2022-02-13_20-52-55_0000147.wav,-,-,S,20220213 20:52
Batlife_Ottenby_2022-02-13_20-58-17_0000148.wav,-,-,S,20220213 20:58
Batlife_Ottenby_2022-02-13_21-03-19_0000149.wav,-,-,S,20220213 21:03
Batlife_Ottenby_2022-02-13_21-23-50_0000150.wav,-,-,S,20220213 21:23
Batlife_Ottenby_2022-02-13_21-27-13_0000151.wav,-,-,S,20220213 21:27
Batlife_Ottenby_2022-02-13_21-43-37_0000152.wav,-,-,S,20220213 21:43
Batlife_Ottenby_2022-02-13_21-51-56_0000153.wav,-,-,S,20220213 21:51
Batlife_Ottenby_2022-02-13_22-03-22_0000154.wav,-,-,S,20220213 22:03
Batlife_Ottenby_2022-02-14_00-13-44_0000155.wav,-,-,S,20220214 00:13
Batlife_Ottenby_2022-02-14_00-33-22_0000156.wav,-,-,S,20220214 00:33
Batlife_Ottenby_2022-02-14_00-48-23_0000157.wav,-,-,S,20220214 00:48
